i,d,n,th,p,v,la,lo,sc,st,cm,cn,xs,sat,sta,tp,vf
"BD-4778","Dhaka","General Battery & Rimso Battery","Kodomtoli","10687","high","23.68115","90.43969","1","400","220","unnamed","26.7","true","confirmed","YES — Insight Gaps BD-INV-003 (March 2026)","[CONFIRMED] Large-span industrial roofs are visible alongside active smoke or st"
"BD-8113","Chittagong","Electrical & Electronics Waste M","Bhatiary","3058","moderate","22.43489","91.73978","1","400","306","unnamed","7.6","false","confirmed","YES — Insight Gaps BD-INV-003 (March 2026)","[PROBABLE] Multiple large-span corrugated metal buildings and adjacent open yard"
"BD-5021","Chittagong","Navana Battery Industry Ltd","City Gate Area","2073","moderate","22.38281","91.76854","1","400","247","Amirabad Jonokollayn High School, S","5.2","true","confirmed","YES — Insight Gaps BD-INV-003 (March 2026)","[CONFIRMED] Large-scale factory buildings with intact corrugated roofs and adjac"
"BD-4803","Dhaka","Yongil Metal (BD) Limited (Alumi","Konakhola","906","elevated","23.69485","90.34709","1","400","443","Union Resource Center(URC)","2.3","false","assessed","YES — Insight Gaps BD-INV-003 (March 2026)","[UNCLEAR] The imagery shows a subdivided grid of land plots currently undergoing"
"BD-3041","Dhaka","Jewellery Studios at Tanti Bazar","","903","elevated","23.70918","90.40506","1","400","484","Zindabahar Govment Primary School,","2.3","true","confirmed","YES — Insight Gaps BD-INV-003 (March 2026)","[CONFIRMED] Numerous large cargo vessels docked at informal riverfront yards alo"
"BD-8102","Dhaka","China Jingju Battery Manufacturi","Ashulia","624","elevated","23.91771","90.31349","1","400","351","Unique Vocational Training Center L","1.6","true","confirmed","YES — Insight Gaps BD-INV-003 (March 2026)","[CONFIRMED] Multiple large-span corrugated metal factory buildings and an active"
"BD-5130","Chittagong","Minto Battery Works","EPZ Road","376","low","23.44988","91.18266","1","400","167","IBN Taimiya School","0.9","true","confirmed","YES — Insight Gaps BD-INV-003 (March 2026)","[CONFIRMED] Massive industrial complexes with blue and grey corrugated roofs are"
"BD-2026","Chittagong","Karnaphuli Paper Mill (KPM)","","337","low","22.47528","92.14278","1","400","457","Karnaphuli Paper Mills High School","0.8","true","confirmed","YES — Insight Gaps BD-INV-003 (March 2026)","[CONFIRMED] A prominent effluent plume is visible discharging into the river fro"
"BD-5081","Chittagong","Lead Battery Works","Station Road","233","low","23.46056","91.16888","1","400","407","Shaheen School","0.6","true","confirmed","YES — Insight Gaps BD-INV-003 (March 2026)","[CONFIRMED] A cluster of blue and grey large-span industrial roofs is situated i"
"BD-8104","Dhaka","Berger Paints Company LTD","Nabinagar","41","low","23.91777","90.24703","1","400","111","Gonoshasthaya Vocational And Techni","0.1","true","confirmed","YES — Insight Gaps BD-INV-003 (March 2026)","[CONFIRMED] Multiple large-span buildings with corrugated roofs and active loadi"
"BD-7569","Rajshahi","ULAB breaking and smelting works","Kabilpur","23302","high","25.30856","89.34298","1","400","122","Champagonj High School, School","58.3","false","assessed","YES — Insight Gaps BD-INV-003 (March 2026)","[NOT_INDUSTRIAL] The imagery shows a predominantly agricultural landscape with s"
"BD-4921","Dhaka","ULAB recycling and smelting work","Ashulia","680872","critical","23.91941","90.29231","0","0","","—","1702.2","false","assessed","",""
"BD-4944","Khulna","Sachibunia Lead Smelting Site","Charka-khali","465252","critical","22.78022","89.54577","0","0","","—","1163.1","false","assessed","",""
"BD-4845","Dhaka","ULAB recycling and smelting work","Yearpur","293496","critical","23.93814","90.32331","0","0","","—","733.7","false","assessed","",""
"BD-4830","Dhaka","ULAB Recycling and Smelting Fact","Kalampur","278166","critical","23.92526","90.19065","0","0","","—","695.4","false","assessed","",""
"BD-4822","Dhaka","Mollah Metal (Lead breaking & sm","Bongaon","272530","critical","23.82584","90.27508","0","0","","—","681.3","false","assessed","",""
"BD-4807","Dhaka","Yasfa Metal Works","Yasfa Metal Works","267214","critical","23.69527","90.32592","0","0","","—","668","false","assessed","",""
"BD-5204","Dhaka","ULAB smelting works","Madaripur Sadar","263270","critical","23.26923","90.08605","0","0","","—","658.2","false","assessed","",""
"BD-4860","Dhaka","ULAB recycling and smelting work","Bagbari","262275","critical","23.96071","90.32066","0","0","","—","655.7","false","assessed","",""
"BD-4823","Dhaka","ULAB Recycling and Smelting Work","Ashulia","231980","critical","23.89308","90.25671","0","0","","—","580","false","assessed","",""
"BD-5160","Dhaka","ULAB breaking and smelting works","Mymensingh sadar","222701","critical","24.74731","90.42762","0","0","","—","556.8","false","assessed","",""
"BD-4950","Khulna","Lead Smelting Works","Kasba","205779","critical","22.99867","89.45871","0","0","","—","514.4","false","assessed","",""
"BD-4842","Dhaka","ULAB recycling and smelting work","Dhantara","204891","critical","24.01127","90.15005","0","0","","—","512.2","false","assessed","",""
"BD-7265","Dhaka","ULAB breaking and smelting facto","Gorai","203121","critical","24.08489","90.16382","0","0","","—","507.8","false","assessed","",""
"BD-5176","Dhaka","ULAB recycling and smelting work","Kalihati","200409","critical","24.37824","90.00173","0","0","","—","501","false","assessed","",""
"BD-7287","Dhaka","ULAB breaking and smelting facto","Gorai","195371","critical","24.08554","90.16428","0","0","","—","488.4","false","assessed","",""
"BD-5012","Rajshahi","ULAB recycling and smelting work","Bera","191678","critical","23.9805","89.6442","0","0","","—","479.2","false","assessed","",""
"BD-7288","Dhaka","ULAB breaking and smelting facto","Gorai","187128","critical","24.09021","90.15697","0","0","","—","467.8","false","assessed","",""
"BD-4815","Khulna","Khorshed Metal Works","BSCIC Industrial  Ar","185690","critical","22.9161","89.50577","0","0","","—","464.2","false","assessed","",""
"BD-7157","Dhaka","ULAB breaking and smelting facto","Kotoali","183912","critical","24.76101","90.43991","0","0","","—","459.8","false","assessed","",""
"BD-4938","Khulna","Badi Mia ULAB Recycling Works","Badi Mia ULAB Recycl","175093","critical","22.78877","89.53468","0","0","","—","437.7","false","assessed","",""
"BD-4942","Khulna","Sayed Battery Works","Battery Potti","168935","critical","23.16203","89.22247","0","0","","—","422.3","false","assessed","",""
"BD-7264","Dhaka","ULAB smelting works","Latifpur","163214","critical","24.11091","90.09876","0","0","","—","408","false","assessed","",""
"BD-4779","Dhaka","Ratan Metal Works","Hasnabad","159262","critical","23.67689","90.43214","0","0","","—","398.2","false","assessed","",""
"BD-5634","Dhaka","ULAB breaking works","Mymensingh sadar","154623","critical","24.75206","90.42991","0","0","","—","386.6","false","assessed","",""
"BD-7380","Dhaka","ULAB breaking and smelting works","Kalidas","153931","critical","24.29643","90.21033","0","0","","—","384.8","false","assessed","",""
"BD-5016","Rajshahi","ULAB smelting works","Bera","153740","critical","23.98433","89.6702","0","0","","—","384.4","false","assessed","",""
"BD-7608","Rajshahi","ULAB breaking and smelting works","Masimpur","153214","critical","25.55393","89.18462","0","0","","—","383","false","assessed","",""
"BD-5555","Chittagong","ULAB breaking & smelting works","Brahmanbaria Pouroso","153213","critical","23.95256","91.09837","0","0","","—","383","false","assessed","",""
"BD-7293","Dhaka","ULAB smelting factory","Namapara","153011","critical","24.09932","90.21288","0","0","","—","382.5","false","assessed","",""
"BD-7294","Dhaka","ULAB breaking and smelting facto","Aijgona Bazar","151214","critical","24.11094","90.21406","0","0","","—","378","false","assessed","",""
"BD-4781","Rajshahi","Rostom and Moktar Used Lead-Acid","Santahar","149682","critical","24.80793","88.98219","0","0","","—","374.2","false","assessed","",""
"BD-7636","Rajshahi","ULAB Smelting works","Ishidoho","148123","critical","24.86484","89.38482","0","0","","—","370.3","false","assessed","",""
"BD-5452","Dhaka","ULAB  breaking & smelting works","Shibpur","145904","critical","23.91162","90.68285","0","0","","—","364.8","false","assessed","",""
"BD-4841","Dhaka","ULAB breaking and smelting works","Roghunathpur","144276","critical","24.00458","90.16773","0","0","","—","360.7","false","assessed","",""
"BD-7292","Dhaka","ULAB  breaking and smelting work","Ajgana","143712","critical","24.1099","90.2144","0","0","","—","359.3","false","assessed","",""
"BD-5553","Chittagong","ULAB breaking and smelting works","Nondonpur","143212","critical","24.03731","91.11216","0","0","","—","358","false","assessed","",""
"BD-5124","Rajshahi","Lead Battery Works","Chandaikona","143028","critical","24.54945","89.50977","0","0","","—","357.6","false","assessed","",""
"BD-7640","Rajshahi","ULAB breaking and smelting works","Balua","142161","critical","25.02826","89.44533","0","0","","—","355.4","false","assessed","",""
"BD-4908","Dhaka","ULAB recycling and smelting work","Gazipur Sadar","138275","critical","23.96288","90.3155","0","0","","—","345.7","false","assessed","",""
"BD-5099","Rajshahi","Lead Smelting Works","Chandaikona","137187","critical","24.54715","89.51225","0","0","","—","343","false","assessed","",""
"BD-7439","Rajshahi","ULAB breaking and smelting works","Mominpur","135279","critical","25.74512","89.1103","0","0","","—","338.2","false","assessed","",""
"BD-7654","Rajshahi","ULAB breaking and smelting works","Sonatala","135131","critical","24.9874","89.46837","0","0","","—","337.8","false","assessed","",""
"BD-5636","Dhaka","Lead smelting works","Mymensingh sadar","134213","critical","24.73172","90.46322","0","0","","—","335.5","false","assessed","",""
"BD-7404","Rajshahi","ULAB breaking and smelting works","Phulakipur","132712","critical","25.31794","89.20415","0","0","","—","331.8","false","assessed","",""
"BD-5620","Dhaka","ULAB breaking and smelting works","Kishoreganj sadar","132512","critical","24.48487","90.80072","0","0","","—","331.3","false","assessed","",""
"BD-7578","Rajshahi","ULAB breaking and smelting works","Shialdangipur","132512","critical","25.91601","88.43687","0","0","","—","331.3","false","assessed","",""
"BD-5547","Dhaka","ULAB breaking and smelting works","Rupgonj","132142","critical","23.77398","90.58337","0","0","","—","330.4","false","assessed","",""
"BD-7643","Rajshahi","ULAB breaking and smelting works","Sonatala","132141","critical","24.99678","89.47307","0","0","","—","330.4","false","assessed","",""
"BD-7156","Dhaka","ULAB recycling factory","Boyra Bazar","131421","critical","24.70959","90.46876","0","0","","—","328.6","false","assessed","",""
"BD-5546","Dhaka","ULAB breaking and smelting works","Sonargaon","124351","critical","23.74817","90.59996","0","0","","—","310.9","false","assessed","",""
"BD-7552","Rajshahi","ULAB breaking and smelting works","Bara Alampur","124121","critical","25.3875","89.28098","0","0","","—","310.3","false","assessed","",""
"BD-7629","Rajshahi","ULAB breaking and smelting works","Bogra Sadar","121621","critical","24.86331","89.38516","0","0","","—","304.1","false","assessed","",""
"BD-5554","Chittagong","ULAB smelting works","Brahmanbaria  sadar","120219","critical","24.03956","91.10867","0","0","","—","300.5","false","assessed","",""
"BD-4859","Khulna","Lead Smelting Works","Sunagar","119243","critical","22.71685","89.65495","0","0","","—","298.1","false","assessed","",""
"BD-4831","Dhaka","Fatema  Lead Smelting Factory","Shimulia","117324","critical","23.98172","90.21246","0","0","","—","293.3","false","assessed","",""
"BD-4814","Khulna","Lead Smelting Works","Halfrasta","114217","critical","22.98338","89.46986","0","0","","—","285.5","false","assessed","",""
"BD-7171","Dhaka","ULAB breaking works","Boilore More","113297","critical","24.63418","90.39945","0","0","","—","283.2","false","assessed","",""
"BD-5082","Rajshahi","ULAB recycling and breaking work","Bera","103299","critical","24.00686","89.65242","0","0","","—","258.2","false","assessed","",""
"BD-5551","Dhaka","ULAB breaking and smelting works","Bondor","102351","critical","23.68154","90.56712","0","0","","—","255.9","false","assessed","",""
"BD-7355","Dhaka","ULAB Breaking and Smelting site","Bohonia Union","100000","critical","24.29172","90.1899","0","0","","—","250","false","assessed","",""
"BD-7354","Dhaka","ULAB Breaking and Smelting site","Bohonia Union","100000","critical","24.28997","90.15492","0","0","","—","250","false","assessed","",""
"BD-5018","Rajshahi","ULAB smelting works","Bera","98454","high","23.97714","89.67135","0","0","","—","246.1","false","assessed","",""
"BD-4834","Khulna","Lead Smelting Works","Kuwait Mosque Area","97073","high","22.78241","89.55493","0","0","","—","242.7","false","assessed","",""
"BD-4836","Khulna","ULAB Recycling Works","Zero Point","92014","high","22.79895","89.52802","0","0","","—","230","false","assessed","",""
"BD-4782","Rajshahi","Boubazar Battery Works","Boubazar","88367","high","24.86765","89.2281","0","0","","—","220.9","false","assessed","",""
"BD-5014","Rajshahi","ULAB recycling and smelting work","Bera","86979","high","23.98847","89.63939","0","0","","—","217.4","false","assessed","",""
"BD-5166","Dhaka","ULAB recycling and smelting work","Modhupur","85470","high","24.53958","90.11336","0","0","","—","213.7","false","assessed","",""
"BD-7302","Dhaka","ULAB  smelting site","koralia union","78341","high","24.57334","90.07482","0","0","","—","195.9","false","assessed","",""
"BD-5313","Rajshahi","ULAB breaking and smelting works","Gobindaganj","77721","high","25.10998","89.48923","0","0","","—","194.3","false","assessed","",""
"BD-2470","Dhaka","Bangshi River","","77250","high","23.9335","90.2563","0","0","","—","193.1","false","assessed","",""
"BD-7375","Khulna","Chuadanga ULAB recycling house","Chuadanga ULAB recyc","77184","high","23.64841","88.84212","0","0","","—","193","false","assessed","",""
"BD-4952","Dhaka","ULAB recycling and smelting work","Sreepur","74469","high","24.27185","90.3122","0","0","","—","186.2","false","assessed","",""
"BD-7637","Rajshahi","ULAB smelting works","Shibganj","73691","high","25.02472","89.43415","0","0","","—","184.2","false","assessed","",""
"BD-7362","Dhaka","ULAB breaking works","Shakhipur pouroshova","72931","high","24.31953","90.16455","0","0","","—","182.3","false","assessed","",""
"BD-5104","Rajshahi","ULAB recycling and breaking work","Ishurdi","72810","high","24.15736","89.02468","0","0","","—","182","false","assessed","",""
"BD-4926","Dhaka","ULAB recycling and smelting work","Sreepur","65070","high","24.16573","90.40667","0","0","","—","162.7","false","assessed","",""
"BD-5637","Dhaka","ULAB breaking and smelting works","Char Niloxmia","64676","high","24.73786","90.45425","0","0","","—","161.7","false","assessed","",""
"BD-5302","Rajshahi","Polerhat Lead Battery Smelting","Goaldighi Union","62581","high","25.82707","88.77819","0","0","","—","156.5","false","assessed","",""
"BD-5013","—","ULAB recycling and breaking work","Bera","62484","high","23.98469","89.64031","0","0","","—","156.2","false","assessed","",""
"BD-4896","Dhaka","ULAB recycling and smelting work","Gazipur Sadar","62028","high","23.98293","90.2943","0","0","","—","155.1","false","assessed","",""
"BD-5463","Chittagong","ULAB breaking & smelting works","BSCIC Industrial are","61319","high","24.91682","91.94268","0","0","","—","153.3","false","assessed","",""
"BD-4943","Khulna","Malek Battery works","Sonadanga","55986","high","22.81493","89.54145","0","0","","—","140","false","assessed","",""
"BD-4927","Dhaka","ULAB recycling and smelting work","Sreepur","53700","high","24.18891","90.41227","0","0","","—","134.2","false","assessed","",""
"BD-4785","Rajshahi","Lead Smelting Works","Genzir mill area","52383","high","24.81277","88.97894","0","0","","—","131","false","assessed","",""
"BD-7381","Rajshahi","ULAB breaking and smelting works","Birahimpur","51850","high","25.28109","89.23258","0","0","","—","129.6","false","assessed","",""
"BD-7546","Rajshahi","ULAB breaking and smelting works","Darshana","48288","high","25.3875","89.28098","0","0","","—","120.7","false","assessed","",""
"BD-5017","Rajshahi","ULAB smelting works","Bera","47272","high","23.9844","89.67119","0","0","","—","118.2","false","assessed","",""
"BD-5447","Dhaka","ULAB smelting works","Narshingdi sadar","46962","high","23.85044","90.70036","0","0","","—","117.4","false","assessed","",""
"BD-5019","Rajshahi","ULAB recycling and smelting work","Bera","44719","high","23.9915","89.6409","0","0","","—","111.8","false","assessed","",""
"BD-7384","Rajshahi","ULAB breaking and smelting works","Bulakipur","42887","high","25.32768","89.19746","0","0","","—","107.2","false","assessed","",""
"BD-5459","Barisal","ULAB breaking and Recycling Work","BCIC","41780","high","22.71972","90.35988","0","0","","—","104.5","false","assessed","",""
"BD-4920","Dhaka","ULAB recycling and smelting work","Sreepur","39204","high","24.14361","90.36124","0","0","","—","98","false","assessed","",""
"BD-5093","Rajshahi","ULAB recycling and breaking work","Bera","37775","high","23.99003","89.64426","0","0","","—","94.4","false","assessed","",""
"BD-4806","Khulna","Shiddipasha Lead Smelting Works","Shiddipasha Lead Sme","37241","high","22.92852","89.51531","0","0","","—","93.1","false","assessed","",""
"BD-5299","Rajshahi","Shokor Ali Lead Battery Smelting","Gossogram","37077","high","25.28527","89.23199","0","0","","—","92.7","false","assessed","",""
"BD-7363","Dhaka","Used Lead-Acid Battery (ULAB) br","Shakhipur pouroshova","36395","high","24.3155","90.16999","0","0","","—","91","false","assessed","",""
"BD-8153","Chittagong","Gold Recycling from Jewelry Ashe","Boxirhat","35193","high","22.34012","91.84153","0","0","","—","88","false","assessed","",""
"BD-8152","Chittagong","Gold Recycling from Jewelry Ashe","Khalpar","34938","high","22.34138","91.84469","0","0","","—","87.3","false","assessed","",""
"BD-4849","Khulna","Lead Smelting Works","Shipyard area","31920","high","22.78111","89.58092","0","0","","—","79.8","false","assessed","",""
"BD-4957","—","ULAB recycling and smelting work","Sreepur","31858","high","24.29245","90.34584","0","0","","—","79.6","false","assessed","",""
"BD-4948","Rajshahi","Lead Smelting Works","Lead Smelting Works","30848","high","24.85666","89.38671","0","0","","—","77.1","false","assessed","",""
"BD-5201","Dhaka","ULAB recycling and breaking work","Madaripur sadar","28357","high","23.17771","90.12621","0","0","","—","70.9","false","assessed","",""
"BD-5440","Dhaka","ULAB breaking and smelting works","Shibpur","26112","high","23.9943","90.68211","0","0","","—","65.3","false","assessed","",""
"BD-7428","Khulna","ULAB Battery works Barkhada","","25934","high","23.92815","89.09374","0","0","","—","64.8","false","assessed","",""
"BD-7296","Dhaka","ULAB breaking and smelting facto","Ajgana","24714","high","24.12127","90.21084","0","0","","—","61.8","false","assessed","",""
"BD-7564","Khulna","ULAB Battery works jugia","","23489","high","23.92327","89.09947","0","0","","—","58.7","false","assessed","",""
"BD-5159","Dhaka","ULAB recycling and smelting work","Mymensingh sadar","23426","high","24.74934","90.42684","0","0","","—","58.6","false","assessed","",""
"BD-5177","—","ULAB  recycling and smelting wor","Kalihati","23178","high","24.32751","89.92845","0","0","","—","57.9","false","assessed","",""
"BD-7165","Dhaka","ULAB Breaking and Smelting Site","8 No Daugaon Union","22266","high","24.64498","90.14752","0","0","","—","55.7","false","assessed","",""
"BD-5298","Khulna","Lead Smelting Works","Mostofar Mor","21212","high","22.82358","89.51812","0","0","","—","53","false","assessed","",""
"BD-5308","Khulna","Continental Battery Industry","Samta","19810","high","22.9853","88.9794","0","0","","—","49.5","false","assessed","",""
"BD-4599","Dhaka","ULAB Recycling and Smelting Fact","Matuail","19566","high","23.7198","90.4528","0","0","","—","48.9","false","assessed","",""
"BD-4928","Dhaka","ULAB recycling and smelting work","Sreepur","18664","high","24.2651","90.45234","0","0","","—","46.7","false","assessed","",""
"BD-5458","Chittagong","Suntec Energy Limited","BSCIC Industrial are","18248","high","24.91604","91.94235","0","0","","—","45.6","false","assessed","",""
"BD-4813","Khulna","Shiromoni Battery Works","Shiromoni Battery Wo","17790","high","22.91534","89.50249","0","0","","—","44.5","false","assessed","",""
